age_band,gender,resting_hr_mean,resting_hr_std,n,max_hr_fox,resting_source,max_hr_source
10s,F,105.0,14.1,179,205,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
10s,M,94.1,23.9,177,205,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
20s,F,68.8,22.8,63,195,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
20s,M,59.6,16.2,99,195,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
30s,F,60.1,16.1,68,185,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
30s,M,57.2,11.8,117,185,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
40s,F,63.7,19.2,126,175,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
40s,M,57.4,12.2,155,175,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
50s,F,57.2,11.2,247,165,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
50s,M,57.1,11.3,268,165,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
60s,F,58.4,12.7,376,155,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
60s,M,58.4,13.5,396,155,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
70s,F,60.7,14.7,295,145,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
70s,M,59.3,13.5,394,145,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
80s,F,69.6,18.9,124,135,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
80s,M,60.7,15.1,157,135,KNHANES 2020-2024 HE_mPLS,Fox 220-rep_age
